pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6
-0.011111989862629238,-0.4447207486914503,0.6350378555252743,-3.1318676193651624,-0.05556273712809355,-0.10753165956293285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.011111989285610422,-0.44472074768744757,0.6350378542039785,-3.131867616256663,-0.05556273735500734,-0.10753166456894994,1.730633635067624e-06,3.0097014213525166e-06,-3.961811685690957e-06,9.31987320702153e-06,-6.812005797580811e-07,-1.5009887031545563e-05,0.0034595761375475565,0.006010179151718541,-0.0079153232403396,0.01861725483974496,-0.0013642368169048335,-0.029987124862971157
-0.011111985249860725,-0.4447207406778704,0.6350378449715046,-3.13186759454214,-0.05556273894707293,-0.1075316995457868,6.9157712307161595e-06,1.200193932603045e-05,-1.581406541579382e-05,3.7189585624055786e-05,-2.7321335623892824e-06,-5.9909029396070246e-05,0.006909009142024311,0.01196510137274485,-0.015780903290293413,0.03709973752316353,-0.002739453419408625,-0.05977858873557294
-0.011111974305946544,-0.4447207217077825,0.6350378199622634,-3.131867535739081,-0.055562743279501225,-0.10753179428494636,1.5545273316451836e-05,2.692154200479619e-05,-3.550707560362463e-05,8.34745424228921e-05,-6.163744574417543e-06,-0.00013450200031128582,0.010348306338505166,0.017864937106464238,-0.02359685535195024,0.05544780270390081,-0.004125581489526762,-0.08937486003483719
-0.011111953014570065,-0.44472068487733396,0.6350377713602929,-3.1318674214993916,-0.05556275173841463,-0.10753197838273898,2.7609007746745204e-05,4.7713508190408336e-05,-6.299127185834965e-05,0.00014804050341716993,-1.098691092461978e-05,-0.00023859384141352045,0.013777475052061585,0.023709856796176758,-0.03136329462722834,0.07366180503531766,-0.005522552709278627,-0.11877640717781973
-0.01111191794656196,-0.4447206243415906,0.6350376913991442,-3.13186723360904,-0.05556276572077862,-0.10753228124075077,4.309684970128094e-05,7.432300706250667e-05,-9.821719899608763e-05,0.0002307535830908005,-1.721244160358179e-05,-0.0003719900627542769,0.0171965226077678,0.02950003088526062,-0.039080336318209404,0.09174209917105922,-0.006930298760678942,-0.1479836985815524
-0.011111865682874067,-0.44472053431036423,0.6350375723617658,-3.1318669539877,-0.05556278663433359,-0.10753273206631218,6.19986816846803e-05,0.00010669537824183898,-0.00014113551703324843,0.00033148025057309785,-2.4851077283920308e-05,-0.0005344966428027861,0.020605456330695715,0.03523562981703718,-0.046748095626825914,0.10968903976431582,-0.0083487513257482,-0.176997202663091
-0.01111179281457205,-0.4447204090480418,0.6350374065803892,-3.131866564688404,-0.0555628158975264,-0.10753335987296635,8.430439352675088e-05,0.00014477613179203749,-0.00019169700118919754,0.00045008732965654235,-3.391349032028299e-05,-0.0007259200284453412,0.02400428354591846,0.040916824034863346,-0.05436668775509561,0.12750298146870412,-0.00977784208650268,-0.2058173878394754
-0.011111695942828088,-0.4447202428734149,0.6350371864364126,-3.131866047897181,-0.055562854939442116,-0.10753419348093748,0.00011000388238230628,0.00018851094822139506,-0.0002498525418840357,0.0005864419987683591,-4.4410284749459455e-05,-0.0009460671349856301,0.027393011578509048,0.04654378398206758,-0.061936227905029125,0.14518427893767027,-0.011217502724959763,-0.2344447225277516
-0.011111571678913535,-0.4447200301595093,0.6350369043602859,-3.131865385932702,-0.05556290519973569,-0.1075352615175993,0.00013908705273124928,0.00023784567848108908,-0.0003155531447408193,0.0007404117910024923,-5.635199629013146e-05,-0.001194745346143848,0.030771647753539935,0.05211668010198545,-0.06945683127861578,0.16273328682463203,-0.012667664923137504,-0.2628796751449639
-0.011111416644191612,-0.4447197653334149,0.6350365528313968,-3.1318645612459335,-0.055562968128563636,-0.10753659241794353,0.0001715438163785719,0.0002927263439647371,-0.0003887499305842281,0.0009118645941160522,-6.97490923429562e-05,-0.0014717625140574738,0.03414019939608481,0.057635682837988075,-0.0769286130778662,0.18015035978312077,-0.01412826036305262,-0.2911227141081548
-0.011111227470110053,-0.44471944287611437,0.6350361243779532,-3.131863556419768,-0.05556304518651567,-0.10753821442504805,0.00020736409245429983,0.00035309913651017334,-0.0004693941354396771,0.0011006686504795781,-8.461197199078832e-05,-0.0017769269592810488,0.037498673831216016,0.06310096263340392,-0.08435168850477684,0.19743585246652579,-0.015599220726722941,-0.319174307834373
-0.011111000798193821,-0.4447190573223139,0.6350356115768705,-3.1318623541686854,-0.05556313784454649,-0.10754015559054562,0.0002465378074135481,0.00041891041839900466,-0.0005574371105368692,0.0013066925571694073,-0.00010095096599834687,-0.0021100474707861764,0.040847078384006676,0.06851268993156145,-0.0917261727613299,0.21459011952837853,-0.017080477696166517,-0.3470349247406593
-0.011110733280037751,-0.444718603260272,0.6350350070536545,-3.13186093733839,-0.05556324758390736,-0.10754244377509226,0.00028905489503654863,0.0004901067223552782,-0.0006528303223057984,0.0015298052658788597,-0.00011877633681240955,-0.002470933305961521,0.04418542037952948,0.07387103517581757,-0.09905218104955021,0.23161351562206828,-0.01857196295340052,-0.37470503324405957
-0.011110421577299237,-0.44471807533162927,0.6350343034822876,-3.1318592889054546,-0.05556337589607785,-0.10754510664883549,0.00033490529642853925,0.0005666347515468135,-0.0007555253523798585,0.0017698760829715247,-0.0001380982785617573,-0.002859394190612256,0.0475137071428571,0.07917616880951496,-0.10632982857142001,0.24850639540101277,-0.020073608180442765,-0.4021851017616218
-0.011110062361690907,-0.44471746823123776,0.6350334935851125,-3.131857391976971,-0.05556352428269749,-0.10754817169188284,0.0003840789600199027,0.000648441379585647,-0.0008654738975940668,0.0020267746694635023,-0.00015892691705720195,-0.0032752403189616136,0.050831945999063,0.08442826127598209,-0.1135592305289286,0.26526911351877186,-0.021585345059310427,-0.42947559871038576
-0.011109652314973292,-0.444716776706991,0.635032570132718,-3.1318552297901907,-0.05556369425549747,-0.10755166619477033,0.0004365658415659858,0.0007354736505235907,-0.0009826277699837315,0.002300371041009189,-0.00018127230979164178,-0.0037182823536492235,0.05414014427321942,0.08962748301856163,-0.12074050212409373,0.2819020246287064,-0.023107105272021554,-0.4565769925074019
-0.011109188128947518,-0.44471599555965313,0.6350315259438226,-3.131852785712176,-0.05556388733623231,-0.1075556172589308,0.0004923559041473497,0.0008276787788620023,-0.001106938896788893,0.002590535567936804,-0.0002051444459398672,-0.004188331425731444,0.0574383092903996,0.09477400448061049,-0.12787375855891184,0.2984054833843762,-0.02463882050059331,-0.4834897515697111
-0.011108666505447938,-0.44471511964268795,0.63503035388516,-3.131850043239434,-0.055564105056611544,-0.10756005179716223,0.0005514391181694644,0.0009250041495393511,-0.0012383593204485501,0.002897138975209315,-0.00023055324635883837,-0.004685199134682917,0.06072644837567655,0.09986799610546424,-0.13495911503537222,0.3147798444391707,-0.026180422427042632,-0.5102143443143574
-0.011108084156334866,-0.4447141438620899,0.6350290468713646,-3.131846985997575,-0.05556434895823139,-0.1075649965340965,0.000613805461363097,0.0010273973179418753,-0.0013768411986077667,0.0032200523424635104,-0.0002575085635872688,-0.005208697548393458,0.06400456885412305,0.10490962833647265,-0.14199668675549265,0.3310254624465926,-0.027731842733388024,-0.5367512391583862
-0.011107437803487214,-0.44471306317621256,0.635027597864855,-3.1318435977409536,-0.055564620592506477,-0.10757047800666747,0.0006794449187838264,0.001134806009896477,-0.0015223368041092328,0.0035591471039780314,-0.0002860201818461804,-0.005758639203171501,0.06727267805081191,0.10989907161696422,-0.14898658892125533,0.34714269206003157,-0.029293013101646864,-0.5631009045188442
-0.011106724178795177,-0.44471187259559863,0.6350259998757193,-3.1318398623523103,-0.05556492152060148,-0.10757652256457956,0.0007483474828124876,0.0012471781216738312,-0.0016747985249999258,0.003914295048676919,-0.0003160978170385153,-0.006334837103742316,0.07053078329081582,0.1148364963902745,-0.15592893673465663,0.3631318879329334,-0.030863865213836543,-0.589263808812775
-0.011105940024152898,-0.4447105671828089,0.6350242459616,-3.1318357638424175,-0.05556525331336282,-0.10758315637077603,0.000820503153154921,0.0013644617199883857,-0.0018341788645275597,0.004285368320143832,-0.0003477511167491906,-0.006937104723247351,0.07377889189920799,0.11972207309975329,-0.16282384539770015,0.3789934047188865,-0.03244433075197444,-0.6152404204572217
